Alleles,CSF1PO,D10S1248,D12S391,D13S317,D16S539,D18S51,D19S433,D1S1656,D21S11,D22S1045,D2S1338,D2S441,D3S1358,D5S818,D7S820,D8S1179,FGA,TH01,TPOX,vWA
2.2,,,,,,,,,,,,,,,,,,,,
3.2,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,
4.2,,,,,,,,,,,,,,,,,,,,
5,,,,,0.001461988,,,,,,,,,,,,,0.004385965,,
6,,,,,,,,,,,,,,,0.001461988,,,0.131578947,0.089442815,
6.3,,,,,,,,,,,,,,,,,,,,
7,0.055555556,,,,,,,,,,,,,0.002923977,0.011695906,,,0.407894737,0.017595308,
8,0.055555556,0.002923977,,0.027777778,0.032163743,,,,,0.007309942,,,,0.046783626,0.228070175,0.007309942,,0.195906433,0.368035191,
8.1,,,,,,,,,,,,,,,,,,,,
9,0.039473684,0.002923977,,0.033625731,0.182748538,0.002923977,,,,,,0.002923977,,0.032163743,0.115497076,0.004385965,,0.159356725,0.195014663,
9.1,,,,,,,,,,,,,,,,,,,,
9.3,,,,,,,,,,,,,,,,,,0.096491228,,
10,0.25,0.007309942,,0.030701754,0.116959064,0.004385965,0.010233918,0.014619883,,0.040935673,,0.084795322,,0.073099415,0.33625731,0.030701754,,0.004385965,0.086510264,
10.1,,,,,,,,,,,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,,,
10.3,,,,,,,,,,,,,,,,,,,,
11,0.248538012,0.035087719,,0.30994152,0.314327485,0.001461988,0.062865497,0.045321637,,0.144736842,,0.362573099,,0.233918129,0.203216374,0.052631579,,,0.215542522,0.002923977
11.2,,,,,,,,,,,,,,,,,,,,
11.3,,,,,,,,,,,,0.043859649,,,,,,,,
12,0.295321637,0.130116959,,0.418128655,0.204678363,0.076023392,0.122807018,0.064327485,,0.054093567,,0.165204678,0.004385965,0.368421053,0.087719298,0.130116959,,,0.026392962,0.001461988
12.2,,,,,,,0.036549708,,,,,,,,,,,,,
12.3,,,,,,,,,,,,0.005847953,,,,,,,,
13,0.046783626,0.233918129,,0.140350877,0.122807018,0.040935673,0.245614035,0.100877193,,0.002923977,,0.043859649,0.002923977,0.223684211,0.014619883,0.219298246,,,0.001466276,0.00877193
13.2,,,,,,0.004385965,0.052631579,,,,,,,,,,,,,
13.3,,,,,,,,,,,,0.002923977,,,,,,,,
13.4,,,,,,,,,,,,,,,,,,,,
14,0.00877193,0.276315789,0.001461988,0.039473684,0.024853801,0.071637427,0.210526316,0.257309942,,0.07748538,,0.26754386,0.090643275,0.016081871,0.001461988,0.293859649,,,,0.080409357
14.2,,,,,,,0.074561404,,,,,,,,,,,,,
14.3,,,,,,,,0.007309942,,,,0.001461988,,,,,,,,
15,,0.197368421,0.07748538,,,0.165204678,0.080409357,0.157894737,,0.251461988,0.001461988,0.019005848,0.308479532,0.002923977,,0.19005848,,,,0.191520468
15.2,,,,,,0.001461988,0.061403509,,,,,,0.001461988,,,,,,,
15.3,,,,,,,,0.029239766,,,,,,,,,,,,
15.4,,,,,,,,,,,,,,,,,,,,
16,,0.087719298,0.067251462,,,0.171052632,0.004385965,0.109649123,,0.191520468,0.055555556,,0.31871345,,,0.064327485,,,,0.25
16.2,,,,,,,0.026315789,,,,,,,,,,0.001461988,,,
16.3,,,,,,,,0.102339181,,,,,,,,,,,,
17,,0.024853801,0.166666667,,,0.152046784,,0.027777778,,0.209064327,0.100877193,,0.211988304,,,0.004385965,,,,0.235380117
17.1,,,0.004385965,,,,,,,,,,,,,,,,,
17.2,,,,,,,0.00877193,,,,,,,,,,0.001461988,,,
17.3,,,0.004385965,,,,,0.049707602,,,,,,,,,,,,
18,,0.001461988,0.252923977,,,0.121345029,,0.002923977,,0.014619883,0.042397661,,0.057017544,,,0.002923977,0.001461988,,,0.149122807
18.1,,,0.001461988,,,,,,,,,,,,,,,,,
18.2,,,,,,,0.002923977,,,,,,,,,,0.01754386,,,
18.3,,,0.004385965,,,,,0.023391813,,,,,,,,,,,,
19,,,0.147660819,,,0.099415205,,,,0.005847953,0.138888889,,0.004385965,,,,0.051169591,,,0.062865497
19.1,,,0.00877193,,,,,,,,,,,,,,,,,
19.2,,,,,,,,,,,,,,,,,0.002923977,,,
19.3,,,0.004385965,,,,,0.007309942,,,,,,,,,,,,
19.4,,,,,,,,,,,,,,,,,,,,
20,,,0.10380117,,,0.062865497,,,,,0.10380117,,,,,,0.054093567,,,0.016081871
20.1,,,0.002923977,,,,,,,,,,,,,,,,,
20.2,,,,,,,,,,,,,,,,,,,,
20.3,,,,,,,,,,,,,,,,,,,,
21,,,0.064327485,,,0.010233918,,,,,0.135964912,,,,,,0.122807018,,,0.001461988
21.2,,,,,,0.001461988,,,,,,,,,,,,,,
21.3,,,,,,,,,,,,,,,,,,,,
22,,,0.036549708,,,0.007309942,,,,,0.137426901,,,,,,0.198830409,,,
22.2,,,,,,,,,,,,,,,,,0.004385965,,,
22.3,,,,,,,,,,,,,,,,,0.001461988,,,
23,,,0.029239766,,,0.004385965,,,,,0.10380117,,,,,,0.169590643,,,
23.2,,,,,,,,,,,,,,,,,0.001461988,,,
23.3,,,,,,,,,,,,,,,,,,,,
24,,,0.013157895,,,0.001461988,,,,,0.083333333,,,,,,0.133040936,,,
24.2,,,,,,,,,,,,,,,,,,,,
24.3,,,,,,,,,,,,,,,,,,,,
25,,,0.00877193,,,,,,,,0.07748538,,,,,,0.118421053,,,
25.2,,,,,,,,,,,,,,,,,0.001461988,,,
26,,,,,,,,,0.001461988,,0.014619883,,,,,,0.070175439,,,
26.2,,,,,,,,,,,,,,,,,,,,
27,,,,,,,,,0.074561404,,0.004385965,,,,,,0.023391813,,,
27.2,,,,,,,,,,,,,,,,,,,,
27.3,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,0.245614035,,,,,,,,0.014619883,,,
28.2,,,,,,,,,,,,,,,,,,,,
28.3,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,0.204678363,,,,,,,,0.005847953,,,
29.2,,,,,,,,,,,,,,,,,,,,
29.3,,,,,,,,,0.001461988,,,,,,,,,,,
30,,,,,,,,,0.169590643,,,,,,,,0.001461988,,,
30.2,,,,,,,,,0.01754386,,,,,,,,0.001461988,,,
30.3,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,0.078947368,,,,,,,,,,,
31.2,,,,,,,,,0.051169591,,,,,,,,0.001461988,,,
32,,,,,,,,,0.00877193,,,,,,,,,,,
32.2,,,,,,,,,0.061403509,,,,,,,,,,,
33,,,,,,,,,0.004385965,,,,,,,,,,,
33.1,,,,,,,,,0.002923977,,,,,,,,,,,
33.2,,,,,,,,,0.035087719,,,,,,,,,,,
34,,,,,,,,,0.005847953,,,,,,,,,,,
34.2,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,0.021929825,,,,,,,,,,,
36,,,,,,,,,0.00877193,,,,,,,,,,,
37,,,,,,,,,0.002923977,,,,,,,,,,,
38,,,,,,,,,0.001461988,,,,,,,,,,,
39,,,,,,,,,0.001461988,,,,,,,,,,,
43.2,,,,,,,,,,,,,,,,,,,,
