Alleles,CSF1PO,D10S1248,D12S391,D13S317,D16S539,D18S51,D19S433,D1S1656,D21S11,D22S1045,D2S1338,D2S441,D3S1358,D5S818,D7S820,D8S1179,FGA,TH01,TPOX,vWA
2.2,,,,,,,,,,,,,,,,,,,,
3.2,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,
4.2,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,0.170103093,,
6.3,,,,,,,,,,,,,,,,,,,,
7,0.020618557,,,,,,,,,,,,,0.015463918,0.005154639,,,0.268041237,,
8,,,,0.216494845,,,,,,,,0.005154639,,0.005154639,0.134020619,,,0.072164948,0.546391753,
8.1,,,,,,,,,,,,,,,,,,,,
9,0.067010309,,,0.144329897,0.355670103,,,,,,,,,0.097938144,0.046391753,,,0.443298969,0.082474227,
9.1,,,,,,,,,,,,0.005154639,,,,,,,,
9.3,,,,,,,,,,,,,,,,,,0.041237113,,
10,0.201030928,0.005154639,,0.103092784,0.164948454,,,,,,,0.268041237,,0.226804124,0.262886598,0.12371134,,0.005154639,0.030927835,
10.1,,,,,,,,,,,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,,,
10.3,,,,,,,,,,,,,,,,,,,,
11,0.216494845,,,0.268041237,0.190721649,,,0.030927835,,0.201030928,,0.350515464,,0.273195876,0.350515464,0.118556701,,,0.293814433,
11.2,,,,,,,,,,,,,,,,,,,,
11.3,,,,,,,,,,,,0.030927835,,,,,,,,
12,0.386597938,0.087628866,,0.211340206,0.175257732,0.036082474,0.036082474,0.046391753,,0.005154639,,0.216494845,,0.206185567,0.175257732,0.118556701,,,0.046391753,
12.2,,,,,,,0.025773196,,,,,,,,,,,,,
12.3,,,,,,,,,,,,0.005154639,,,,,,,,
13,0.087628866,0.319587629,,0.056701031,0.097938144,0.216494845,0.283505155,0.134020619,,,,0.025773196,,0.159793814,0.025773196,0.201030928,,,,
13.2,,,,,,,0.020618557,,,,,,,,,,,,,
13.3,,,,,,,,,,,,,,,,,,,,
13.4,,,,,,,,,,,,,,,,,,,,
14,0.015463918,0.25257732,,,0.015463918,0.237113402,0.298969072,0.06185567,,0.010309278,,0.082474227,0.025773196,0.015463918,,0.201030928,,,,0.195876289
14.2,,,,,,,0.103092784,,,,,,,,,,,,,
14.3,,,,,,,,,,,,,,,,,,,,
15,0.005154639,0.206185567,0.041237113,,,0.180412371,0.06185567,0.278350515,,0.309278351,,0.010309278,0.365979381,,,0.128865979,,,,0.020618557
15.2,,,,,,,0.12371134,,,,,,,,,,,,,
15.3,,,,,,,,,,,,,,,,,,,,
15.4,,,,,,,,,,,,,,,,,,,,
16,,0.097938144,0.010309278,,,0.128865979,0.010309278,0.201030928,,0.226804124,0.020618557,,0.329896907,,,0.092783505,,,,0.139175258
16.2,,,,,,,0.030927835,,,,,,,,,,,,,
16.3,,,,,,,,0.015463918,,,,,,,,,,,,
17,,0.030927835,0.082474227,,,0.067010309,,0.072164948,,0.221649485,0.056701031,,0.201030928,,,0.010309278,0.010309278,,,0.31443299
17.1,,,,,,,,,,,,,,,,,,,,
17.2,,,,,,,0.005154639,,,,,,,,,,,,,
17.3,,,,,,,,0.087628866,,,,,,,,,,,,
18,,,0.262886598,,,0.030927835,,0.015463918,,0.020618557,0.134020619,,0.067010309,,,0.005154639,0.025773196,,,0.206185567
18.1,,,,,,,,,,,,,,,,,,,,
18.2,,,,,,,,,,,,,,,,,,,,
18.3,,,,,,,,0.051546392,,,,,,,,,,,,
19,,,0.175257732,,,0.041237113,,,,0.005154639,0.180412371,,0.010309278,,,,0.056701031,,,0.108247423
19.1,,,,,,,,,,,,,,,,,,,,
19.2,,,,,,,,,,,,,,,,,,,,
19.3,,,0.005154639,,,,,0.005154639,,,,,,,,,,,,
19.4,,,,,,,,,,,,,,,,,,,,
20,,,0.195876289,,,0.025773196,,,,,0.159793814,,,,,,0.087628866,,,0.015463918
20.1,,,,,,,,,,,,,,,,,,,,
20.2,,,,,,,,,,,,,,,,,,,,
20.3,,,,,,,,,,,,,,,,,,,,
21,,,0.097938144,,,0.010309278,,,,,0.015463918,,,,,,0.103092784,,,
21.2,,,,,,,,,,,,,,,,,,,,
21.3,,,,,,,,,,,,,,,,,,,,
22,,,0.056701031,,,0.015463918,,,,,0.051546392,,,,,,0.242268041,,,
22.2,,,,,,,,,,,,,,,,,,,,
22.3,,,,,,,,,,,,,,,,,,,,
23,,,0.025773196,,,0.005154639,,,,,0.164948454,,,,,,0.206185567,,,
23.2,,,,,,,,,,,,,,,,,,,,
23.3,,,,,,,,,,,,,,,,,,,,
24,,,0.010309278,,,,,,,,0.128865979,,,,,,0.149484536,,,
24.2,,,,,,,,,,,,,,,,,0.005154639,,,
24.3,,,0.005154639,,,,,,,,,,,,,,,,,
25,,,0.015463918,,,,,,,,0.046391753,,,,,,0.072164948,,,
25.2,,,,,,,,,,,,,,,,,,,,
26,,,0.010309278,,,,,,,,0.036082474,,,,,,0.030927835,,,
26.2,,,,,,,,,,,,,,,,,,,,
27,,,0.005154639,,,,,,,,0.005154639,,,,,,0.005154639,,,
27.2,,,,,,,,,,,,,,,,,,,,
27.3,,,,,,,,,,,,,,,,,,,,
28,,,,,,0.005154639,,,0.056701031,,,,,,,,,,,
28.2,,,,,,,,,0.005154639,,,,,,,,,,,
28.3,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,0.201030928,,,,,,,,,,,
29.2,,,,,,,,,,,,,,,,,,,,
29.3,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,0.329896907,,,,,,,,,,,
30.2,,,,,,,,,0.005154639,,,,,,,,,,,
30.3,,,,,,,,,0.010309278,,,,,,,,,,,
31,,,,,,,,,0.12371134,,,,,,,,,,,
31.2,,,,,,,,,0.036082474,,,,,,,,,,,
32,,,,,,,,,0.056701031,,,,,,,,,,,
32.2,,,,,,,,,0.113402062,,,,,,,,,,,
33,,,,,,,,,0.015463918,,,,,,,,,,,
33.1,,,,,,,,,,,,,,,,,,,,
33.2,,,,,,,,,0.046391753,,,,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,
34.2,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,
43.2,,,,,,,,,,,,,,,,,0.005154639,,,
