Alleles,CSF1PO,D10S1248,D12S391,D13S317,D16S539,D18S51,D19S433,D1S1656,D21S11,D22S1045,D2S1338,D2S441,D3S1358,D5S818,D7S820,D8S1179,FGA,TH01,TPOX,vWA
2.2,,,,,,,,,,,,,,,,,,,,
3.2,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,
4.2,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,0.23940678,0.008474576,
6.3,,,,,,,,,,,,,,,,,,,,
7,0.012711864,,,,,,,,,,,,,0.033898305,0.01059322,,,0.296610169,0.006355932,
8,0.004237288,,,0.110169492,0.019067797,,,,,,,,,0.008474576,0.120762712,0.014830508,,0.091101695,0.485169492,
8.1,,,,,,,,,,,,,,,,,,,,
9,0.023305085,,,0.165254237,0.139830508,,0.002118644,,,,,,,0.052966102,0.091101695,0.006355932,,0.146186441,0.093220339,
9.1,,,,,,,,,,,,,,,,,,,,
9.3,,,,,,,,,,,,,,,,,,0.218220339,,
10,0.237288136,,,0.099576271,0.150423729,0.002118644,0.002118644,0.006355932,,0.014830508,,0.336864407,,0.05720339,0.30720339,0.093220339,,0.008474576,0.048728814,
10.1,,,,,,,,,,,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,,,
10.3,,,,,,,,,,,,,,,0.002118644,,,,,
11,0.279661017,0.004237288,,0.218220339,0.264830508,0.014830508,0.014830508,0.027542373,,0.063559322,,0.298728814,,0.389830508,0.277542373,0.052966102,,,0.254237288,0.002118644
11.2,,,,,,,,,,,,,,,,,,,,
11.3,,,,,,,,,,,,0.044491525,,,,,,,,
12,0.375,0.042372881,,0.235169492,0.277542373,0.11440678,0.065677966,0.088983051,,0.012711864,,0.036016949,,0.338983051,0.154661017,0.129237288,,,0.103813559,
12.2,,,,,,,0.012711864,,,,,,,,,,,,,
12.3,,,,,,,,,,,,0.002118644,,,,,,,,
13,0.059322034,0.273305085,,0.105932203,0.133474576,0.122881356,0.222457627,0.11440678,,0.008474576,,0.023305085,0.006355932,0.108050847,0.036016949,0.273305085,,,,
13.2,,,,,,,0.044491525,,,,,,,,,,,,,
13.3,,,,,,,,,,,,,,,,,,,,
13.4,,,,,,,,,,,,,,,,,,,,
14,0.006355932,0.338983051,,0.061440678,0.012711864,0.161016949,0.353813559,0.116525424,,0.027542373,,0.205508475,0.078389831,0.008474576,,0.262711864,,,,0.080508475
14.2,,,,,,0.002118644,0.038135593,,,,,,,,,,,,,
14.3,,,,,,,,0.004237288,,,,,,,,,,,,
15,0.002118644,0.211864407,0.044491525,0.004237288,0.002118644,0.158898305,0.13559322,0.137711864,,0.425847458,,0.048728814,0.322033898,0.002118644,,0.129237288,,,,0.144067797
15.2,,,,,,,0.055084746,,,,,,,,,,,,,
15.3,,,,,,,,0.050847458,,,,,,,,,,,,
15.4,,,,,,,,,,,,,,,,,,,,
16,,0.099576271,0.042372881,,,0.125,0.025423729,0.175847458,,0.349576271,0.029661017,0.002118644,0.279661017,,,0.031779661,,,,0.283898305
16.2,,,,,,,0.027542373,,,,,,,,,,,,,
16.3,,,,,,,,0.050847458,,,,,,,,,,,,
17,,0.025423729,0.076271186,,,0.125,,0.042372881,,0.091101695,0.169491525,0.002118644,0.184322034,,,0.004237288,0.002118644,,,0.245762712
17.1,,,,,,,,,,,,,,,,,,,,
17.2,,,,,,,,,,,,,,,,,,,,
17.3,,,0.016949153,,,,,0.148305085,,,,,,,,,,,,
18,,0.002118644,0.177966102,,,0.078389831,,0.006355932,,0.006355932,0.080508475,,0.122881356,,,0.002118644,0.012711864,,,0.180084746
18.1,,,,,,,,,,,,,,,,,,,,
18.2,,,,,,,,,,,,,,,,,,,,
18.3,,,0.012711864,,,,,0.025423729,,,,,,,,,,,,
19,,0.002118644,0.188559322,,,0.046610169,,,,,0.19279661,,0.004237288,,,,0.080508475,,,0.050847458
19.1,,,0.002118644,,,,,,,,,,,,,,,,,
19.2,,,,,,,,,,,,,,,,,,,,
19.3,,,0.006355932,,,,,0.004237288,,,,,,,,,,,,
19.4,,,,,,,,,,,,,,,,,,,,
20,,,0.154661017,,,0.027542373,,,,,0.127118644,,0.002118644,,,,0.084745763,,,0.01059322
20.1,,,,,,,,,,,,,,,,,,,,
20.2,,,,,,,,,,,,,,,,,,,,
20.3,,,0.002118644,,,,,,,,,,,,,,,,,
21,,,0.112288136,,,0.008474576,,,,,0.031779661,,,,,,0.152542373,,,0.002118644
21.2,,,,,,,,,,,,,,,,,,,,
21.3,,,,,,,,,,,,,,,,,,,,
22,,,0.06779661,,,0.01059322,,,,,0.05720339,,,,,,0.165254237,,,
22.2,,,0.002118644,,,,,,,,,,,,,,0.004237288,,,
22.3,,,,,,,,,,,,,,,,,,,,
23,,,0.05720339,,,,,,,,0.139830508,,,,,,0.120762712,,,
23.2,,,,,,,,,,,,,,,,,0.004237288,,,
23.3,,,,,,,,,,,,,,,,,,,,
24,,,0.016949153,,,0.002118644,,,,,0.076271186,,,,,,0.141949153,,,
24.2,,,,,,,,,0.002118644,,,,,,,,,,,
24.3,,,,,,,,,,,,,,,,,,,,
25,,,0.006355932,,,,,,,,0.078389831,,,,,,0.118644068,,,
25.2,,,,,,,,,,,,,,,,,,,,
26,,,0.006355932,,,,,,,,0.016949153,,,,,,0.061440678,,,
26.2,,,,,,,,,0.002118644,,,,,,,,,,,
27,,,0.006355932,,,,,,0.027542373,,,,,,,,0.044491525,,,
27.2,,,,,,,,,,,,,,,,,,,,
27.3,,,,,,,,,,,,,,,,,,,,
28,,,,,,,,,0.099576271,,,,,,,,0.002118644,,,
28.2,,,,,,,,,,,,,,,,,,,,
28.3,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,0.207627119,,,,,,,,0.002118644,,,
29.2,,,,,,,,,0.002118644,,,,,,,,,,,
29.3,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,0.273305085,,,,,,,,0.002118644,,,
30.2,,,,,,,,,0.023305085,,,,,,,,,,,
30.3,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,0.076271186,,,,,,,,,,,
31.2,,,,,,,,,0.099576271,,,,,,,,,,,
32,,,,,,,,,0.016949153,,,,,,,,,,,
32.2,,,,,,,,,0.127118644,,,,,,,,,,,
33,,,,,,,,,0.004237288,,,,,,,,,,,
33.1,,,,,,,,,0.002118644,,,,,,,,,,,
33.2,,,,,,,,,0.033898305,,,,,,,,,,,
34,,,,,,,,,0.002118644,,,,,,,,,,,
34.2,,,,,,,,,,,,,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,,,,,
38,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,
43.2,,,,,,,,,,,,,,,,,,,,
