Alleles,CSF1PO,D10S1248,D12S391,D13S317,D16S539,D18S51,D19S433,D1S1656,D21S11,D22S1045,D2S1338,D2S441,D3S1358,D5S818,D7S820,D8S1179,FGA,TH01,TPOX,vWA
2.2,,,,,,,,,,,,,,,,,,,,
3.2,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,
4.2,,,,,,,,,,,,,,,,,,,,
5,,,,,0.000482625,,,,,,,,,,,,,0.001930502,0.000483092,
6,,,,,,,,,,,,,,,0.000482625,,,0.195945946,0.031884058,
6.3,,,,,,,,,,,,,,,,,,,,
7,0.023166023,,,,,,,,,,,,,0.011100386,0.016409266,,,0.29488417,0.007246377,
8,0.021235521,0.000965251,,0.096525097,0.021235521,,,,,0.002413127,,0.000482625,,0.019787645,0.165540541,0.010617761,,0.125482625,0.466183575,
8.1,,,,,,,,,,,,,,,0.000482625,,,,,
9,0.029440154,0.000965251,,0.089285714,0.162644788,0.000965251,0.000482625,,,,,0.001447876,,0.046332046,0.121621622,0.004826255,,0.168918919,0.137681159,
9.1,,,,,,,,,,,,0.000965251,,,,,,,,
9.3,,,,,,,,,,,,,,,,,,0.205598456,,
10,0.232142857,0.002895753,,0.058880309,0.108108108,0.004826255,0.004343629,0.007239382,,0.016891892,,0.203185328,,0.077702703,0.29488417,0.078667954,,0.006756757,0.059903382,
10.1,,,,,,,,,,,,,,,,,,,,
10.2,,,,,,,,,,,,,,,,,,,,
10.3,,,,,,,,,,,,,,,0.000482625,,,,,
11,0.273648649,0.013030888,,0.290540541,0.291505792,0.007239382,0.026061776,0.051158301,,0.129826255,,0.340250965,0.000482625,0.315637066,0.234555985,0.067084942,,0.000482625,0.244444444,0.001447876
11.2,,,,,,,,,,,,,,,,,,,,
11.3,,,,,,,,,,,,0.048745174,,,,,,,,
12,0.344594595,0.071911197,,0.305019305,0.256756757,0.094111969,0.083494208,0.086389961,,0.025579151,,0.099420849,0.001447876,0.353281853,0.136100386,0.141891892,,,0.051207729,0.000965251
12.2,,,,,,,0.017857143,,,,,,,,,,,,,
12.3,,,,,,,,,,,,0.004343629,,,,,,,,
13,0.065637066,0.276544402,,0.116312741,0.137065637,0.10472973,0.247104247,0.09507722,,0.00530888,,0.032335907,0.002895753,0.163127413,0.027509653,0.268339768,,,0.000966184,0.003378378
13.2,,,,,,0.001447876,0.031853282,,,,,,,,,,,,,
13.3,,,,,,,,,,,,0.000965251,,,,,,,,
13.4,,,,,,,,,,,,,,,,,,,,
14,0.009169884,0.295849421,0.000482625,0.041988417,0.021718147,0.129343629,0.304054054,0.144787645,,0.052606178,,0.226833977,0.087355212,0.011100386,0.001930502,0.233590734,,,,0.095559846
14.2,,,,,,0.000965251,0.051158301,,,,,,,,,,,,,
14.3,,,,,,,,0.004343629,,,,0.000482625,,,,,,,,
15,0.000965251,0.201254826,0.050675676,0.001447876,0.000482625,0.166988417,0.117760618,0.161679537,,0.320945946,0.000965251,0.039092664,0.30453668,0.001930502,,0.140444015,,,,0.13465251
15.2,,,,,,0.000482625,0.056949807,,,,,,0.000482625,,,,,,,
15.3,,,,,,,,0.041505792,,,,,,,,,,,,
15.4,,,,,,,,,,,,,,,,,,,,
16,,0.107142857,0.040540541,,,0.148166023,0.027992278,0.142374517,,0.297297297,0.040057915,0.000965251,0.282818533,,,0.048745174,,,,0.230212355
16.2,,,,,,0.000482625,0.023166023,,,,,,,,,,0.000482625,,,
16.3,,,,,,,,0.068050193,,,,,,,,,,,,
17,,0.026544402,0.124517375,,,0.133204633,0.002413127,0.041988417,,0.136583012,0.141891892,0.000482625,0.204150579,,,0.003861004,0.001447876,,,0.262065637
17.1,,,0.001447876,,,,,,,,,,,,,,,,,
17.2,,,,,,,0.003861004,,,,,,,,,,0.000482625,,,
17.3,,,0.012548263,,,,,0.10472973,,,,,,,,,,,,
18,,0.001447876,0.208494208,,,0.087837838,,0.005791506,,0.010135135,0.07046332,,0.105694981,,,0.001930502,0.014478764,,,0.180019305
18.1,,,0.000482625,,,,,,,,,,,,,,,,,
18.2,,,,,,,0.001447876,,,,,,,,,,0.005791506,,,
18.3,,,0.013030888,,,,,0.035714286,,,,,,,,,,,,
19,,0.001447876,0.151544402,,,0.061293436,,,,0.002413127,0.148648649,,0.009169884,,,,0.057915058,,,0.078667954
19.1,,,0.003378378,,,,,,,,,,,,,,,,,
19.2,,,,,,,,,,,,,,,,,0.000965251,,,
19.3,,,0.004826255,,,,,0.009169884,,,,,,,,,,,,
19.4,,,,,,,,,,,,,,,,,,,,
20,,,0.126447876,,,0.035714286,,,,,0.132722008,,0.000965251,,,,0.088320463,,,0.011583012
20.1,,,0.000965251,,,,,,,,,,,,,,,,,
20.2,,,,,,,,,,,,,,,,,,,,
20.3,,,0.000482625,,,,,,,,,,,,,,,,,
21,,,0.100868726,,,0.00965251,,,,,0.066602317,,,,,,0.147200772,,,0.001447876
21.2,,,,,,0.000482625,,,,,,,,,,,0.001930502,,,
21.3,,,,,,,,,,,,,,,,,,,,
22,,,0.066119691,,,0.008687259,,,,,0.075289575,,,,,,0.197393822,,,
22.2,,,0.000482625,,,,,,,,,,,,,,0.006756757,,,
22.3,,,,,,,,,,,,,,,,,0.000482625,,,
23,,,0.049227799,,,0.001930502,,,,,0.118243243,,,,,,0.155888031,,,
23.2,,,,,,,,,,,,,,,,,0.002413127,,,
23.3,,,,,,,,,,,,,,,,,,,,
24,,,0.025579151,,,0.000965251,,,,,0.097007722,,,,,,0.137065637,,,
24.2,,,,,,,,,0.000482625,,,,,,,,0.000965251,,,
24.3,,,0.000482625,,,,,,,,,,,,,,,,,
25,,,0.011583012,,,,,,,,0.083494208,,,,,,0.1003861,,,
25.2,,,,,,,,,0.000482625,,,,,,,,0.000482625,,,
26,,,0.003378378,,,,,,0.000482625,,0.022683398,,,,,,0.049227799,,,
26.2,,,,,,,,,0.000482625,,,,,,,,,,,
27,,,0.002413127,,,,,,0.038610039,,0.001930502,,,,,,0.019787645,,,
27.2,,,,,,,,,,,,,,,,,,,,
27.3,,,,,,,,,,,,,,,,,,,,
28,,,,,,0.000482625,,,0.16457529,,,,,,,,0.00530888,,,
28.2,,,,,,,,,0.000482625,,,,,,,,,,,
28.3,,,,,,,,,,,,,,,,,,,,
29,,,,,,,,,0.204150579,,,,,,,,0.002413127,,,
29.2,,,,,,,,,0.001447876,,,,,,,,,,,
29.3,,,,,,,,,0.000482625,,,,,,,,,,,
30,,,,,,,,,0.247586873,,,,,,,,0.000965251,,,
30.2,,,,,,,,,0.021718147,,,,,,,,0.000482625,,,
30.3,,,,,,,,,0.000965251,,,,,,,,,,,
31,,,,,,,,,0.08011583,,,,,,,,,,,
31.2,,,,,,,,,0.077220077,,,,,,,,0.000482625,,,
32,,,,,,,,,0.013996139,,,,,,,,,,,
32.2,,,,,,,,,0.091216216,,,,,,,,,,,
33,,,,,,,,,0.004343629,,,,,,,,,,,
33.1,,,,,,,,,0.001447876,,,,,,,,,,,
33.2,,,,,,,,,0.032818533,,,,,,,,,,,
34,,,,,,,,,0.002413127,,,,,,,,,,,
34.2,,,,,,,,,0.001447876,,,,,,,,,,,
35,,,,,,,,,0.007722008,,,,,,,,,,,
36,,,,,,,,,0.003378378,,,,,,,,,,,
37,,,,,,,,,0.000965251,,,,,,,,,,,
38,,,,,,,,,0.000482625,,,,,,,,,,,
39,,,,,,,,,0.000482625,,,,,,,,,,,
43.2,,,,,,,,,,,,,,,,,0.000482625,,,
